Diff_FromDomActDom,BL_IP,Created_within_1_year,Expire_in_13_months,mail_dt,cntry,msgid,tm,cn_typ,hop
0,0,0,1,0.9437011,0.3464221,0.3243531,0.2549125,0.8367861,1
0,0,0,0,0.3645119,0.3464221,0.1937392,0.3113356,0.8367861,1
0,0,0,0,0.7709858,0.3464221,0.0538217,0.0792433,0.8367861,1
0,0,0,1,0.0053809,0.3464221,0.878278,0.2045306,0.8367861,1
0,0,0,1,0.9437011,0.3464221,0.54349,0.2549125,0.8367861,1
0,1,0,0,0.7013747,0.3464221,0.8585535,0.8368399,0.8367861,1
0,0,0,1,0.7277642,0.3464221,0.5798655,0.258794,0.8367861,1
0,0,0,0,0.354317,0.3464221,0.3428744,0.9975132,0.8367861,1
0,1,0,1,0.7461512,0.3464221,0.5205504,0.1807823,0.8367861,1
0,0,0,0,0.4153113,0.3464221,0.545623,0.5573731,0.8367861,1
0,0,0,0,0.0171803,0.3464221,0.9304104,0.3120085,0.8367861,1
0,0,0,0,0.977357,0.3464221,0.0036062,0.6511883,0.8367861,1
0,0,0,0,0.1489669,0.3464221,0.5964893,0.1719536,0.8367861,1
0,0,0,0,0.3025957,0.3464221,0.2367675,0.3140349,0.8367861,1
0,0,0,0,0.4763596,0.3464221,0.6333666,0.4410211,0.8367861,1
0,0,0,0,0.1904373,0.3464221,0.5000048,0.3925268,0.8367861,1
0,0,0,0,0.723592,0.3464221,0.806164,0.2356077,0.5043382,1
0,0,0,0,0.4801289,0.3464221,0.1194487,0.1586833,0.8367861,1
0,0,0,0,0.2883949,0.3464221,0.6766429,0.9557493,0.8367861,1
0,0,0,0,0.1085554,0.3464221,0.1651496,0.3432779,0.8367861,1
0,0,0,0,0.2883949,0.3464221,0.4498002,0.3720524,0.8367861,1
0,0,0,0,0.1145105,0.3464221,0.165461,0.4066887,0.8367861,1
0,0,0,0,0.2608924,0.3464221,0.6735279,0.4443777,0.8367861,1
0,0,0,0,0.8520838,0.3464221,0.9014376,0.7415947,0.8367861,1
0,0,0,0,0.3252463,0.3464221,0.3295223,0.4774305,0.8367861,1
0,0,0,0,0.1166675,0.3464221,0.3533479,0.9638754,0.8367861,1
0,0,0,0,0.6199687,0.3464221,0.4029436,0.8061586,0.8367861,1
0,0,0,1,0.3471569,0.3464221,0.5583193,0.6170091,0.8367861,1
0,0,0,0,0.4866945,0.3464221,0.6819666,0.9198814,0.8367861,1
