Diff_FromDomActDom,BL_IP,Created_within_1_year,Expire_within_13_months,mail_dt,cntry,msgid,tm,cn_typ,hop
1,0,1,0,0.8110802,0.6091574,0.7467921,0.1138891,0.8367861,6
1,1,0,1,0.8990921,0.411251,0.7467921,0.2455413,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.3595616,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3274262,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.9856634,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.3605099,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.8303208,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1577021,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0632272,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.9596276,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3067083,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3110452,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0777519,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.2053924,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0733119,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1691745,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.4252078,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.9639429,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.6385815,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3958755,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5765993,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9640565,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6568623,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.0288283,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5160864,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7217401,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6273095,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6729829,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6262265,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5320884,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8351682,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.0281505,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.430769,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9460967,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8031109,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3209417,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8690798,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7441814,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.4265387,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.6028026,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1624323,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.1227273,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.2240539,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.3804228,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.6519047,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8998889,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.189682,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.7298285,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.4265387,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.5573251,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.2944449,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8513229,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0889002,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.9035185,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5879994,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2762228,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6860425,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2665737,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8535702,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.3208838,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.1637656,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9320143,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7720258,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6786092,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2586433,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8572787,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8565282,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.4090133,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.1509173,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7273404,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.1433216,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.2819894,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8296104,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.894239,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7251318,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.6744178,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8853029,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5689947,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.1068242,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.3773322,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7275802,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9581211,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7717181,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.4328544,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.4659683,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.0053113,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.6610458,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.2697522,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.278416,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.1448486,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.7639434,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9866558,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.2077433,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5426958,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3448705,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7438327,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.8463174,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7079066,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1745757,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1691745,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.041844,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0524241,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1541457,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3776456,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.9340629,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6397607,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.67223,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7232759,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7437777,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.0077709,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.1857473,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7352729,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8022013,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2219856,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2638429,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9149687,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8158368,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6313265,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.3051588,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.6697438,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.032338,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5433231,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.883492,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.891371,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.1051622,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5501105,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6478917,0.8367861,5
